"Level","Institution","Program_Title","Field","Cost","Language","Link"
"Master's degree","University of Hohenheim","Master of Science in International Business and Economics (IBE)","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4430/"
"Master's degree","University of Passau","Master of Science in International Economics and Business","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3971/"
"Master's degree","Goethe University Frankfurt","Master of Science in International Economics and Economic Policy","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4241/"
"Master's degree","Paderborn University","Master of Science in International Economics and Management","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4389/"
"Master's degree","Johannes Gutenberg University Mainz","Master of Science in International Economics and Public Policy","Law, Economics and Social Sciences in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6931/"
"Master's degree","Nürtingen-Geislingen University","Master of Science in International Finance","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3860/"
"Master's degree","Ludwig-Maximilians-Universität München","Master of Science in International Health","Medicine in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5590/"
"Master's degree","Kühne Logistics University","Master of Science in International Management","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4253/"
"Master's degree","Furtwangen University","Master of Science in International Management (IMM)","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4297/"
"Master's degree","Trier University of Applied Sciences","Master of Science in International Material Flow Management (IMAT MSc)","Engineering in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9675/"
"Master's degree","University of Bamberg","Master of Science in International Software Systems Science","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4521/"
"Master's degree","RWTH Aachen University","Master of Science in Laboratory Animal Science","Clinical Practical Veterinary Medicine",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4719/"
"Master's degree","Technical University of Munich","Master of Science in Logistics Engineering and Management","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9819/"
"Master's degree","Aalen University","Master of Science in Machine Learning and Data Analytics","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9737/"
"Master's degree","Ludwig-Maximilians-Universität München","Master of Science in Management and Digital Technologies","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4800/"
"Master's degree","Ruhr-Universität Bochum","Master of Science in Management of Smart and Sustainable Energy Systems","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9878/"
"Master's degree","Ludwig-Maximilians-Universität München","Master of Science in Management – International Triple Degree (ITD)","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6945/"
"Master's degree","TU Dortmund University","Master of Science in Manufacturing Technology (MMT)","Mechanical Engineering / Process Engineering",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4300/"
"Master's degree","Kiel University","Master of Science in Marine Geosciences","Earth Sciences (excluding Geography)",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4282/"
"Master's degree","Paderborn University","Master of Science in Materials Science","Mathematics, Natural Sciences in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4526/"
"Master's degree","Kiel University","Master of Science in Materials Science and Business Administration","Mathematics, Natural Sciences in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6268/"
"Master's degree","Kiel University","Master of Science in Materials Science and Engineering","Mathematics, Natural Sciences in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6086/"
"Master's degree","Technical University of Munich","Master of Science in Materials Science and Engineering (MSc-MS&E)","Engineering in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9047/"
"Master's degree","Kiel University","Master of Science in Mathematical Finance","Mathematics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6122/"
"Master's degree","Universität Hamburg","Master of Science in Mathematical Modelling in Engineering: Theory, Numerics, Applications (MATHMODS)","Mathematics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4160/"
"Master's degree","Leipzig University","Master of Science in Mathematical Physics","Physics, Astronomy",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6327/"
"Master's degree","Friedrich Schiller University Jena","Master of Science in Mathematics","Mathematics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5204/"
"Master's degree","Leibniz University Hannover","Master of Science in Mathematics","Mathematics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4852/"
"Master's degree","Technical University of Darmstadt","Master of Science in Mathematics","Mathematics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5388/"
"Master's degree","FH Aachen University of Applied Sciences","Master of Science in Mechatronics","Mechanical Engineering / Process Engineering",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3697/"
"Master's degree","Friedrich Schiller University Jena","Master of Science in Medical Photonics","Medicine in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4708/"
"Master's degree","Ludwig-Maximilians-Universität München","Master of Science in Meteorology","Physics, Astronomy",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7873/"
"Master's degree","Johannes Gutenberg University Mainz","Master of Science in Meteorology (research-oriented)","Earth Sciences (excluding Geography)",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4767/"
"Master's degree","Technische Universität Ilmenau","Master of Science in Micro- and Nanotechnologies","Electrical Engineering",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4823/"
"Master's degree","University of Freiburg","Master of Science in Microsystems Engineering","Electrical Engineering",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3914/"
